residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Mondrian Tulum Residences,https://accor-residences.com/property/mondrian-tulum-residences/,"Carretera Tulum-Boca Paila Km 7.5, Tulum, Quintana Roo, 77780, Mexico",1200000,800,800000,2000000,1500,65,2027,under construction,high,yes,yes,96,Tulum,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Residents’ Lounge, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Biking/Running Trails",,Private Beach Access,Event Spaces/Banquet Halls,Green Spaces/Parks,,Accor,Immerse yourself in luxurious eco-chic living with stunning jungle and ocean views.,"The residences boast breathtaking ocean views, private rooftop terraces with plunge pools, and direct access to pristine beaches."
SLS Palm Jumeirah Residences,https://accor-residences.com/property/sls-palm-jumeirah-residences/,"East Crescent, Palm Jumeirah, Dubai, 487952, United Arab Emirates",2500000,1250,1500000,5000000,2000,200,2026,under construction,high,yes,yes,97,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Marina/Yacht Club",,Private Beach Access,Marina/Yacht Club,Business Center,,Accor,Indulge in breathtaking panoramic views from luxurious waterfront residences in Dubai's paradise.,"The SLS Palm Jumeirah Residences offer breathtaking panoramic views of the Arabian Gulf, complemented by luxurious amenities and a vibrant lifestyle."
"Pullman Residences, Newton",https://pullmanresidences.com.sg/,"18 Dunearn Road, Newton, Singapore, 309421, Singapore",2800000,2800,1800000,4500000,1000,340,2023,completed,high,yes,yes,99,Singapore,Singapore,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Cold Storage/Package Rooms, Tennis Courts","Aqua Gym, 24-Hour Butler Service, Teppanyaki Grill, BBQ Pits, Jacuzzi, Dining Pavilion",Rooftop Amenities,Concierge Services,Spa,,Accor,Elevate your lifestyle with luxurious hotel-inspired living in prime Newton.,"Offering breathtaking panoramic views of the city skyline, this residence features exclusive amenities like a rooftop infinity pool and lush landscaped gardens."
Raffles Residences,https://accor-residences.com/property/raffles-residences-diriyah-saudi-arabia/,"Al Rajhi Grand Mosque Road, Diriyah, Riyadh, 13713, Saudi Arabia",3500000,1167,2000000,6000000,3000,200,2027,under construction,high,yes,yes,95,Riyadh,Saudi Arabia,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks",24-Hour Butler Service,Spa,Business Center,Event Spaces/Banquet Halls,,Accor,Discover unparalleled luxury with breathtaking views of Diriyah's rich heritage landscape.,"Offering breathtaking views of the historic Diriyah landscape, these residences feature unparalleled access to cultural landmarks and luxurious amenities."
Pullman Residences,https://accor-residences.com/property/pullman-residences-batumi-georgia/,"4 Lech and Maria Kaczynski Street, Batumi, Adjara, 6010, Georgia",150000,500,100000,300000,300,800,2023,completed,high,yes,yes,97,Batumi,Georgia,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area",,Private Beach Access,Spa,Rooftop Amenities,,Accor,Discover breathtaking sea views and luxurious amenities in Batumi's stunning skyline.,"Overlooking the Black Sea, this luxurious residence boasts expansive terraces, private beach access, and unparalleled sunset views."
25hours Heimat,https://accor-residences.com/property/25hours-heimat-dubai-uae/,"Sheikh Zayed Road, Downtown Dubai, Dubai, 487952, United Arab Emirates",1300000,1733,680000,2720000,750,338,2026,under construction,high,yes,yes,99,Dubai,UAE,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Art Gallery/Exhibition Space",Co-working Spaces,Spa,Rooftop Amenities,Art Gallery/Exhibition Space,,Accor,A vibrant fusion of eclectic design and local culture ignites unforgettable stays.,"This vibrant residence boasts breathtaking skyline views, an immersive cultural experience, and unique amenities like a rooftop garden and art installations."
Mama Shelter Residences,https://mama-residences.ae/,"25th Street, Al Quoz 1, Dubai, 487952, United Arab Emirates",1000000,1429,600000,2000000,700,150,2026,under construction,high,yes,yes,96,Dubai,UAE,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Art Gallery/Exhibition Space",Co-working Spaces,Rooftop Amenities,Art Gallery/Exhibition Space,Concierge Services,,Accor,Discover vibrant urban living with stunning skyline views and artistic flair.,"Offering breathtaking skyline views and vibrant communal spaces, this residence redefines luxury living with its eclectic design and engaging social atmosphere."
SLS Punta del Este Residences,https://accor-residences.com/property/sls-punta-del-este-residences-uruguay/,"Avenida Pedragosa Sierra, Punta del Este, Maldonado, 20100, Uruguay",1500000,1000,800000,3000000,1500,180,2025,under construction,high,yes,yes,95,Punta del Este,Uruguay,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area",,Private Beach Access,Spa,Rooftop Amenities,,Accor,Discover breathtaking ocean views and luxurious living in Uruguay's coastal paradise.,"Offering breathtaking ocean views and direct beach access, these residences feature luxurious amenities and unparalleled service in a vibrant coastal setting."
SO/ Uptown Dubai Residences,https://accor-residences.com/property/so-uptown-dubai-residences-uae/,"1 Sheikh Zayed Road, Uptown Dubai, Dubai, 487952, United Arab Emirates",1600000,1600,680000,3260000,1000,227,2023,completed,high,yes,yes,99,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Cold Storage/Package Rooms",24-Hour Butler Service,Concierge Services,Business Center,Spa,,Accor,Elevate your lifestyle with breathtaking panoramic views from sky-high luxury residences.,SO/Uptown Dubai Residences boasts stunning panoramic views of the skyline and offers unparalleled access to vibrant urban lifestyle amenities.
Movenpick Residences,https://accor-residences.com/property/movenpick-residences-teuta-kotor-bay/,"Palih Boraca 19b, Risan, Kotor Bay, 85337, Montenegro",650000,1083,350000,1500000,600,66,2025,under construction,high,yes,yes,95,Kotor,Montenegro,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area, Marina/Yacht Club",,Private Beach Access,Spa,Marina/Yacht Club,,Accor,Bask in breathtaking views of the Adriatic while enjoying luxurious waterfront living.,"Overlooking the stunning Kotor Bay, these residences offer unparalleled panoramic views and exclusive access to private beach facilities."
"Fairmont Heritage Place, The Cedars",https://accor-residences.com/property/fairmont-heritage-place-the-cedars/,"Fairmont Heritage Place, The Cedars  
1000 East Main Street, Hendersonville, TN, 37075, United States",1500000,750,1000000,2500000,2000,127,2025,under construction,high,yes,yes,98,Hendersonville,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Garage, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Pet-Friendly Facilities",,Concierge Services,Green Spaces/Parks,On-site Restaurant/Café,,Accor,Own a timeless mountain retreat blending modern luxury with historic charm.,"Overlooking the serene waters of Lake Hartwell, this residence boasts unparalleled privacy, stunning views, and luxury amenities."
Fairmont Residences,https://accor-residences.com/property/fairmont-residences-phoenix/,"6500 E. Camelback Rd, Scottsdale, AZ 85251, United States.",,,,,,,2008,completed,high,,,,Scottsdale,United States,,,,,,,,Accor,Immerse in unparalleled desert luxury with breathtaking panoramic views and exclusive amenities.,"Offering breathtaking views of the Phoenix skyline and exclusive rooftop amenities, this residence redefines luxury living in the heart of the city."
Sofitel Residences,https://accor-residences.com/property/sofitel-residences-baru/,"Sofitel Residences Barú, Colombia  
Kilómetro 6, Vía Barú, Barú, Cartagena, Bolívar, 130017, Colombia",1200000,800,800000,2000000,1500,150,2025,under construction,high,yes,yes,96,Bolívar,Colombia,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Biking/Running Trails, Event Spaces/Banquet Halls",,Private Beach Access,Spa,On-site Restaurant/Café,,Accor,Immerse yourself in luxurious beachfront living with breathtaking ocean views and lush gardens.,"Overlooking pristine beaches, these residences boast private infinity pools, gourmet dining, and unparalleled access to untouched nature."
Mayaliah Tulum Residences by MGallery,https://accor-residences.com/property/mayaliah-tulum-residences-by-mgallery/,"Aldea Zamá, Tulum, Quintana Roo, 77760, Mexico",600000,1200,350000,1000000,500,95,2025,under construction,high,yes,yes,95,Tulum,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Infinity Pool, Home Office, Residents' Exclusive Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Rooftop Amenities, Green Spaces/Parks","Pool Oasis, Pool Bar, Rooftop Bar, Co-working Space, 24/7 Security, Ethical Mall",Private Beach Access,Spa,Rooftop Amenities,,Accor,Immerse yourself in serene jungle luxury with private cenotes and rooftop sanctuaries.,"Offering breathtaking ocean views and direct access to pristine beaches, these residences feature luxurious amenities and sustainable design."
Pullman Residences,https://accor-residences.com/property/pullman-residences-newton-singapore/,"18 Dunearn Road, Newton, Singapore, 309421, Singapore",2800000,2800,1800000,4500000,1000,340,2023,completed,high,yes,yes,99,Singapore,Singapore,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Cold Storage/Package Rooms, Tennis Courts","Aqua Gym, 24-Hour Butler Service, Jacuzzi, Dining Pavilion",Concierge Services,Spa,Rooftop Amenities,,Accor,Elevate your lifestyle with unparalleled luxury and panoramic city skyline views.,"Offering breathtaking panoramic views of lush greenery and a private rooftop infinity pool, this residence redefines urban luxury living."
Fairmont Residences,https://accor-residences.com/property/fairmont-residences-royal-palm-marrakech-morocco/,"Domaine Royal Palm, Km 12, Route d’Amizmiz, Marrakech, 40000, Morocco",1500000,750,1000000,2500000,2000,81,2013,completed,high,yes,yes,99,Marrakech,Morrocco,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Outdoor Kitchen / BBQ Area, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Golf Course Access, Green Spaces/Parks, Tennis Courts, Kids' Play Area",,Golf Course Access,Business Center,Spa,,Accor,Discover serene luxury with breathtaking views of the Atlas Mountains and lush gardens.,"Offering breathtaking views of the Atlas Mountains, these residences feature private gardens and direct access to luxury amenities."
MGallery Residences at Theatron,https://accor-residences.com/property/theatron-hotel-residences-by-mgallery/,"8 HaGai Street, Nahlaot, Jerusalem, 9432108, Israel",1000000,1429,750000,1500000,700,70,2025,under construction,high,yes,yes,98,Jerusalem,Israel,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Art Gallery/Exhibition Space",,Rooftop Amenities,Event Spaces/Banquet Halls,Art Gallery/Exhibition Space,,Accor,Immerse in timeless luxury with private residences overlooking Jerusalem’s iconic skyline.,"Offering breathtaking views of the Old City and luxurious amenities, this residence redefines urban living in Jerusalem."
"Fairmont Residences, Century Plaza",https://accor-residences.com/property/fairmont-residences-century-plaza-los-angeles-United States/,"2025 Avenue of the Stars, Century City, Los Angeles, CA, 90067, United States",,,,,1750,63,2021,completed,high,yes,yes,99,Los Angeles,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Pet-Friendly Facilities, Cold Storage/Package Rooms",24-Hour Butler Service,Rooftop Amenities,Business Center,Spa,,Accor,"Elevate your lifestyle with sweeping panoramic views and luxurious, modern elegance.","Offering breathtaking panoramic views of the Hollywood Hills and downtown skyline, this residence features unparalleled luxury amenities and personalized services."
Fairmont Residences,https://accor-residences.com/property/fairmont-residences-la-marina-rabat-sale-morocco/,"Avenue de Fès, La Marina, Salé, 11000, Morocco",1200000,800,800000,2000000,1500,100,2023,completed,high,yes,yes,98,Sale,Morocco,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Pet-Friendly Facilities, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,Accor,Discover luxurious living amidst stunning mountain vistas and vibrant Moroccan culture.,"Overlooking the stunning coastline, these residences boast expansive terraces, private pools, and unparalleled access to pristine beaches and lush gardens."
