residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,build_year,rental_potential,development_status,floor_area_sqft,pet_friendly,accessible,no_of_units,city,country,associated_brand,brief_subtitle,feature_names,brief_description,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,confidence_score
Angsana Residences Teluk Bahang,https://www.banyangroupresidences.com/malaysia/penang/angsana-residences-teluk-bahang-penang,"11 Jalan Teluk Bahang, Teluk Bahang, Penang, Malaysia",500000,450,500000,550000,2020,high,completed,175.000,yes,yes,150,Penang,Malaysia,Banyan Tree,Experience unrivaled luxury with breathtaking ocean views from your private sanctuary.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, private balcony/terrace, private elevator, private pool, spa/wellness area","Angsana Residences in Teluk Bahang boasts breathtaking ocean views, exclusive beach access, and luxurious amenities, redefining coastal living.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","24-hour front desk, air conditioning, airport transfers, angsana gallery, babysitting services, banquet hall, beach cabanas, beachfront access, coffee/tea maker, connecting rooms available, destination dining, electric vehicle charging station, electronic bidets, free parking, free wi-fi, gift shop, in-room dining, iron/ironing board, jamboree arcade, kids club (rangers' club), laptop workspace, laundry facilities, luggage storage, meetings & events facilities, minibar, multilingual staff, paddleboarding), pillow menu, playground, premium bedding, rainfall showers, reception hall, safe, smoke-free property, soundproofed rooms, sun loungers, tour/ticket assistance, water sports (kayaking)",Swimming Pool,Spa,On-site Restaurant/Café,90
"Banyan Tree Residences, Cabo Marqués",https://www.banyangroupresidences.com/mexico/cabo-marques/banyan-tree-residences-cabo-marques,"Acapulco de Juárez, Mexico",,,,,2009,high,completed,,yes,yes,45,Acapulco,Mexico,Banyan Tree,Experience breathtaking ocean views and luxurious living in a serene tropical oasis.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Overlooking the stunning Pacific Ocean, these residences boast private infinity pools, expansive terraces, and unparalleled sunset vistas.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Golf Course Access","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Angsana Heritage Collection Hacienda Xcanatun Residences,https://www.banyangroupresidences.com/mexico/xcanatun/angsana-heritage-collection-hacienda-xcanatun-residences,"Xcanatún, Mexico",,,,,2002,medium,completed,,yes,yes,90,Xcanatun,Mexico,Banyan Tree,"A sanctuary of timeless elegance, blending colonial charm with modern luxury living.","butler’s pantry/service kitchen, fitness room/gym, outdoor kitchen/bbq area, private balcony/terrace, private elevator, private pool, roof deck/patio, spa/wellness area","The Hacienda Xcanatun Residences boast stunning views of ancient Mayan ruins and lush tropical landscapes, offering unparalleled tranquility and luxury.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services​","air conditioning, airport transfers, angsana gallery, banquet hall, chapel, coffee/tea maker, connecting rooms available, destination dining, electronic bidets, free wi-fi, in-room dining, iron/ironing board, laptop workspace, luggage storage, meetings & events facilities, minibar, pillow menu, poolside snack bar, premium bedding, rainfall showers, reception hall, safe, smoke-free property, tour/ticket assistance, valet parking",Swimming Pool,Spa,On-site Restaurant/Café,85
"Banyan Tree Residences, Manila Bay",https://www.banyangroupresidences.com/philippines/manila/banyan-tree-residences-manila-bay,"8th Avenue, Bonifacio Global City, Taguig, Metro Manila, Philippines",1500000,,1500000,1500000,2026,high,under construction,,yes,yes,,Manila,Philippines,Banyan Tree,"Experience unparalleled luxury with breathtaking skyline views and lush, tranquil gardens.","butler’s pantry/service kitchen, fitness room/gym, garden/yard, home office, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, roof deck/patio, spa/wellness area, wine cellar/wine room","Offering breathtaking views of Manila Bay and exclusive access to lush green spaces, this residence redefines urban luxury living.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, all-day dining (level 31), ballroom (level 7), banyan tree gallery, barbecue pits, biophilic design, bowling alley, casino, deep soaking bathtubs, designer boutiques, electric vehicle charging station, energy-efficient lighting, espresso maker, executive lounge, facial recognition security system, fancy cocktail bars, flat-screen tv, free wi-fi, helipad, high-end shopping, horseback riding, indoor greenery, lounge, medical services, minibar, pet-friendly facilities, pillow menu, premium bedding, proposal facilities, rainfall showers, rainwater harvesting, retail store, saffron restaurant (level 31), soundproofed rooms, sunset boulevard food & bar (level 1), sustainability initiatives (earthcheck platinum certification), valet parking, vertigo bar (level 32–33), wastewater recycling, water sports, wedding & event lawn, wedding facilities
",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Residences Haeundae Busan,https://www.banyangroupresidences.com/south-korea/bUnited Statesn/banyan-tree-residences-haeundae-bUnited Statesn,"30, Dongbaek-ro 12beon-gil, Haeundae-gu, Busan, South Korea​",,,,,,high,completed,,yes,yes,,Busan,South Korea,Banyan Tree,Experience breathtaking ocean views and luxurious living in Busan's stunning skyline.,"fitness room/gym, home office, home theater, panoramic views, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking ocean views and direct access to pristine beaches, this residence features luxurious amenities and exceptional privacy.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","international restaurant vertigo, michelin-starred thai restaurant chapron, rooftop moon sky bar, sauna",Swimming Pool,Spa,On-site Restaurant/Café,80
Angsana Residences Yeouido Seoul,https://www.banyangroupresidences.com/south-korea/seoul/angsana-residences-yeouido-seoul,"16, Yeouido-dong, Yeongdeungpo-gu, Seoul, South Korea​",,,,,2026,high,under construction,,yes,yes,,Seoul,South Korea,Banyan Tree,"Elevating urban luxury, this riverside haven offers panoramic Han River vistas.","butler’s pantry/service kitchen, fitness room/gym, home office, home theater, private balcony/terrace, private pool, spa/wellness area","Boasting panoramic Han River views and luxurious amenities, this residence offers an unparalleled urban living experience in Seoul.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services​","and galleries, early check-in, golf discounts, restaurants, screen golf, spas, unmanned delivery box, valet parking",Swimming Pool,Spa,On-site Restaurant/Café,85
"Banyan Tree Residences, Riverside Bangkok",https://www.banyangroupresidences.com/thailand/bangkok/banyan-tree-residences-riverside-bangkok,"1 Sathorn Soi 12, Yannawa, Sathorn, Bangkok 10120, Thailand",1500000,1200,1000000,2000000,2019,high,completed,1.000.000,yes,yes,133,Bangkok,Thailand,Banyan Tree,Experience unparalleled riverfront luxury with breathtaking panoramic views of Bangkok's skyline.,"fitness room/gym, home office, library/study, private balcony/terrace, private elevator, private pool, spa/wellness area","Offering breathtaking riverfront views and expansive private balconies, this residence boasts unparalleled luxury and serene urban living.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","24/7 security, meeting rooms, pet-friendly units, supercar parking",Swimming Pool,Spa,On-site Restaurant/Café,95
"Cassia Residences Rama 9, Bangkok",https://www.banyangroupresidences.com/thailand/bangkok/cassia-residences-rama-9,"Rama 9 Road, Bang Kapi, Huai Khwang, Bangkok 10310, Thailand",150000,230,140000,180000,2022,medium,completed,180.000,no,yes,265,Bangkok,Thailand,Banyan Tree,Experience luxurious urban living with stunning skyline views and lush green spaces.,"fitness room/gym, private pool, spa/wellness area","Cassia Residences, Rama 9 boasts breathtaking skyline views and a vibrant community atmosphere, enhancing urban living with unparalleled amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center","air conditioning, breakfast, car park, non-smoking property, security, wi-fi",Swimming Pool,Spa,On-site Restaurant/Café,90
"Banyan Tree Residences, Creston Hill (Khao Yai)",https://www.banyangroupresidences.com/thailand/khao-yai/banyan-tree-residences-creston-hill,"Mu Si, Pak Chong District, Nakhon Ratchasima, Thailand",850000,320,800000,950000,2023,high,completed,320.000,yes,yes,64,Mu Si (Khao Yai),Thailand,Banyan Tree,Experience unparalleled tranquility with breathtaking panoramic views of Khao Yai's lush landscapes.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Overlooking the stunning Khao Yai National Park, these residences feature private infinity pools and expansive terraces for unparalleled mountain views.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
"Banyan Tree Residences, Sichon",https://www.banyangroupresidences.com/thailand/nakhon-si-thammarat/banyan-tree-residences-sichon,"Sichon, Nakhon Si Thammarat, Thailand",2100000,500,1800000,2400000,2025,high,under construction,60.000,yes,yes,15,Nakhon Si Thammarat,Thailand,Banyan Tree,Experience unparalleled serenity with panoramic ocean views and private infinity pools.,"butler’s pantry/service kitchen, chef’s kitchen, outdoor kitchen/bbq area, private balcony/terrace","Offering breathtaking panoramic views of the Gulf of Thailand, this residence features private beach access and luxurious amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​","cassia jetty, cassia tuk tuk, co-working space, free wi-fi, golf course, kids club, laguna golf phuket​, laguna shuttle, market23 (grocery store), pet amenities, play play (children's playground), yak thai tattoo studio, yoga",Swimming Pool,Spa,On-site Restaurant/Café,90
"Skypark Lucean Jomtien, Pattaya",https://www.banyangroupresidences.com/thailand/pattaya/skypark-lucean-jomtien-pattaya,"66 Jomtien Second Road, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",220000,430,110000,480000,2029,high,planned,1.000.000,yes,yes,1487,Pattaya,Thailand,Banyan Tree,Experience breathtaking ocean views and luxurious living in a tropical paradise.,"fitness room/gym, garden/yard, library/study, private pool, spa/wellness area","Skypark Lucean Jomtien boasts breathtaking ocean views, luxurious amenities, and direct access to pristine beaches, redefining coastal living.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","co-library, co-working space, jogging track, kids club, rosy clouds bar, sauna, sky lounge, yoga greenery",Swimming Pool,Spa,On-site Restaurant/Café,90
"Angsana Oceanview Residences, Phuket",https://www.banyangroupresidences.com/thailand/phuket/angsana-oceanview-residences-phuket,"394 Moo 4, Choeng Thale, Thalang, Phuket, Thailand",1350000,500,1100000,1600000,2021,high,completed,45.000,yes,yes,149,Phuket,Thailand,Banyan Tree,Experience uninterrupted panoramic ocean views from your private infinity pool sanctuary.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Set along a pristine coastline, these residences boast stunning ocean views, luxurious amenities, and direct beach access for an unparalleled lifestyle.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Grand Residences – Beach Terraces,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-beach-terraces,"89/8 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand",2900000,500,2600000,3200000,2026,high,under construction,6.000,yes,yes,15,Phuket,Thailand,Banyan Tree,Experience unparalleled luxury with panoramic ocean views and exclusive beach access.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Set against a backdrop of stunning ocean views, this luxurious residence boasts private infinity pools and direct beach access.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Grand Residences – Grand Villas,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-grand-villas,"99/99 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand",3500000,600,3000000,4000000,2020,high,completed,7.000,yes,yes,20,Phuket,Thailand,Banyan Tree,Experience unparalleled luxury in private villas with breathtaking ocean views and lush gardens.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Overlooking pristine beaches and lush mountains, these luxurious villas boast private infinity pools and expansive terraces for unforgettable sunsets.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Grand Residences – Lagoon Pool Villas,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-lagoon-pool-villas,"105/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand",3400000,500,2800000,4000000,2026,high,under construction,6.500,yes,yes,12,Phuket,Thailand,Banyan Tree,Immerse in serene luxury with expansive lagoon-front villas and private pools.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Experience unparalleled luxury in these exquisite lagoon pool villas, boasting breathtaking sunset views and private infinity pools.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Grand Residences – Oceanfront Villas,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-oceanfront-villas,"99/1 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand",3850000,500,3200000,4500000,2026,high,under construction,6.000,yes,yes,15,Phuket,Thailand,Banyan Tree,Experience unparalleled luxury with panoramic ocean views and private infinity pools.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Overlooking the azure Andaman Sea, these luxurious oceanfront villas feature private infinity pools and direct beach access for an unparalleled tropical escape.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Grand Residences – Seaview Residences,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-seaview-residences,"99/3 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand",2900000,650,2300000,3500000,2026,high,under construction,5.000,yes,yes,20,Phuket,Thailand,Banyan Tree,Experience unparalleled luxury with breathtaking ocean views from your private infinity pool.,"fitness room/gym, guest house/guest suite, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living with unparalleled amenities and exclusive beach access.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","24-hour security, air conditioning, cctv, covered carport for 2 cars, jacuzzi, open living spaces, parking, storage",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Residences – Beach Residences,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-residences-beach-residences,"99/99 Moo 4, Cherngtalay, Thalang, Phuket 83110, Thailand",2500000,600,2000000,3000000,2026,high,under construction,4.500,yes,yes,10,Phuket,Thailand,Banyan Tree,Experience unparalleled beachfront luxury with private infinity pools and panoramic ocean vistas.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Overlooking pristine beaches and lush hills, these residences boast private infinity pools and direct access to exclusive amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Residences – Beach Villas,https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-residences-beach-villas,"89/99 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand.",4250000,700,3500000,5000000,2026,high,under construction,7.000,yes,yes,8,Phuket,Thailand,Banyan Tree,Experience unparalleled luxury with private infinity pools overlooking serene Andaman Sea views.,"butler’s pantry/service kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Set against stunning ocean vistas, these luxurious villas offer private infinity pools, lush gardens, and direct beach access for an unparalleled tropical lifestyle.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air conditioning, babysitting services, banyan tree gallery, bowling alley, casino, deep soaking bathtubs, destination dining experiences, electric vehicle charging station, espresso maker, flat-screen tv, free wi-fi, helipad, horseback riding, in-villa dining, medical services, meetings & events facilities, minibar, pet-friendly, pillow menu, premium bedding, proposal facilities, rainfall showers, retail store, soundproofed rooms, valet parking, water sports, wedding facilities, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
