residence_name,website_url,associated_brand,brief_subtitle,brief_description,budget_start_range,budget_end_range,city,country,address
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kohsamui/,Four Seasons,Discover unparalleled luxury with panoramic ocean views from your secluded hillside retreat.,"Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living in a tropical paradise.",25000000,100000000,Koh Samui,Thailand,"Four Seasons Private Residences Koh Samui, 219 Moo 5, Baan Taling Ngam, Taling Ngam, Koh Samui, Surat Thani 84140, Thailand."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kualalumpur/,Four Seasons,Indulge in unparalleled luxury with breathtaking skyline views and exquisite design.,"Offering breathtaking skyline views and direct access to a vibrant shopping district, this residence redefines luxury living in the heart of Kuala Lumpur.",2000000,25000000,Kuala Lumpur,Malaysia,"Four Seasons Private Residences Kuala Lumpur, 145 Jalan Conlay, 50450 Kuala Lumpur, Malaysia."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kyoto/,Four Seasons,A serene sanctuary blending modern elegance with Kyoto’s timeless cultural heritage.,"Offering breathtaking views of the iconic Kiyomizu-dera Temple, these residences feature private gardens and unparalleled access to Kyoto's cultural treasures.",70000000,1000000000,Kyoto,Japan,"Four Seasons Private Residences Kyoto, Japan  
1-2, Hanazono-cho, Sakyo-ku, Kyoto 606-8342, Japan"
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/mumbai/,Four Seasons,Elevate your lifestyle with panoramic Arabian Sea views from your opulent sanctuary.,"Offering breathtaking panoramic views of the Arabian Sea, these residences feature bespoke interiors and unparalleled access to luxury amenities.",70000000,300000000,Mumbai,India,"Four Seasons Private Residences Mumbai, 114 Dr. E. Moses Road, Worli, Mumbai, Maharashtra 400018, India."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/los_cabos/,Four Seasons,Indulge in breathtaking ocean views and unparalleled luxury in your private sanctuary.,"Offering breathtaking ocean views and private access to a secluded beach, these residences redefine luxury living in Los Cabos.",500000,25000000,Los Cabos,Mexico,"Carretera Transpeninsular Km 19.5, San José del Cabo, B.C.S., Mexico."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/tamarindo/,Four Seasons,Embrace unparalleled oceanfront living with breathtaking panoramic views and bespoke luxury design.,"Overlooking the stunning Pacific coastline, these exclusive residences boast private infinity pools and access to pristine, secluded beaches.",4000000,25000000,Guanacaste,Costa Rica,"Tamarindo, Mexico  
Calle La Culebra, 1,  
Tamarindo, Guanacaste,  
Costa Rica."
Grand Hyatt Manila Residences,https://grandhyattmanilaresidences.ph/residences/grand-hyatt-manila-residences-south-tower/,Grand Hyatt,Elevate your lifestyle with panoramic skyline views from luxurious high-rise sanctuaries.,"Offering breathtaking views of Manila Bay and exclusive amenities like a private infinity pool, this residence redefines luxury living.",24000000,25000000,Manila,Philippines,"8th Avenue, Bonifacio Global City, Taguig, Metro Manila, Philippines."
Grand Hyatt Gurgaon Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Indulge in luxurious living with stunning skyline views and world-class amenities.,"Overlooking lush green landscapes, these residences boast expansive balconies, private pools, and unparalleled access to premium leisure amenities.",25000000,15000000,Haryana,India,"Sector 83, NH 8, Gurugram, Haryana 122018, India."
Grand Hyatt Rio de Janeiro Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Luxury oceanfront living meets contemporary elegance with direct access to pristine beaches.,"Overlooking the breathtaking Barra da Tijuca beach, this residence boasts expansive ocean views and exclusive access to luxurious amenities.",2500000,3000000,Rio de Janeiro,Brazil,"Avenida Lúcio Costa, 9600 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-012, Brazil."
Hyatt Regency Danang Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Embrace luxury living with breathtaking oceanfront views and unparalleled resort amenities.,"Set along a pristine beachfront, this residence boasts breathtaking ocean views, private pools, and direct access to world-class golf courses.",10000000,15000000,Đà Nẵng,Vietnam,"5 Trường Sa, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng, Vietnam."
Hyatt Place,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Embrace breathtaking ocean views from luxurious rooms designed for ultimate relaxation.,"Overlooking stunning ocean vistas, this coastal retreat boasts spacious rooms, a rooftop infinity pool, and direct beach access.",100,3000,Taghazout,Mexico,"Hyatt Place Taghazout Bay, Route d'Agadir, Taghazout, 80000, Morocco."
Hyatt Regency Cartagena Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,"Elevated above Cartagena's coastline, these residences boast panoramic ocean views and luxury.","Overlooking the stunning Caribbean Sea, these residences boast expansive terraces, private pools, and direct access to pristine beaches.",500000,800,Cartagena,Colombia,"Calle 10 # 1-100, Cartagena, Colombia."
Hyatt Regency Creek Heights Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Discover unparalleled luxury with breathtaking skyline views from every elegant suite.,"Offering breathtaking views of the Dubai Creek and an exclusive rooftop infinity pool, this residence redefines luxury living.",2000000,8000000,Dubai,UAE,"Dubai, UAE."
Hyatt Centric Park City Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,"Discover luxurious mountain living with ski-in, ski-out access and stunning vistas.","These luxurious residences boast stunning mountain views, direct ski access, and exclusive amenities like a private hot tub and fitness center.",200,1500000,Park City,United States,"Hyatt Centric Park City Residences  
3551 N Escala Ct,  
Park City, UT 84098,  
United States"
Hyatt Regency Lisbon Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,Grand Hyatt,Discover unparalleled luxury with waterfront residences offering breathtaking views of the Tagus.,"These luxurious residences boast breathtaking river views, spacious layouts, and exclusive access to a private rooftop terrace.",250000,2500000,Lisbon,Portugal,"Rua da Junqueira, 63, 1400-200 Lisbon, Portugal."
Grand Hyatt Residences,https://grandhyattgrandcaymanresidences.com/,Grand Hyatt,Discover unparalleled luxury with breathtaking ocean views from your private sanctuary.,"Boasting breathtaking ocean vistas and private beachfront access, these residences redefine luxury living with unparalleled amenities and a vibrant community atmosphere.",500000,3500000,Grand Cayman,Cayman Islands,"349 S Church St, George Town, Grand Cayman, Cayman Islands."
Hard Rock Residences,https://residencesdavos.com/,Hard Rock,Indulge in luxurious alpine living with breathtaking mountain views and world-class amenities.,"Offering breathtaking panoramic mountain views and direct access to world-class skiing, this residence combines luxury with unmatched alpine adventure.",1000000,10000000,Davos,Switzerland,"Davos, Switzerland: Talstrasse 1, 7270 Davos Platz, Switzerland."
InterContinental Residences,https://bimland.com/project/intercontinental-phu-quoc-long-beach-resort,InterContinental,Step into oceanfront elegance with private residences embracing Phu Quoc's golden shores.,"Overlooking pristine beaches and lush jungles, these residences offer unparalleled luxury with private infinity pools and exclusive concierge services.",25000000,80000000,Kiên Giang,Vietnam,"InterContinental Residences Phu Quoc, 1, Đường Bãi Trường, Dương Tơ, Phú Quốc, Kiên Giang, Vietnam."
InterContinental Residences,https://bimland.com/project/intercontinental-residences-halong-bay,InterContinental,Discover unparalleled luxury with breathtaking bay views and exclusive overwater villas.,"Offering breathtaking panoramic views of Halong Bay's limestone cliffs, this residence features private terraces and direct access to pristine beaches.",25000000,20000000,Halong,Vietnam,"Halong Bay, Vietnam: 1, Ha Long, Bai Chay, Ha Long, Quang Ninh, Vietnam."
InterContinental Residences,https://www.ihg.com/residences/content/us/en/brands/intercontinental,InterContinental,Bask in luxurious living with breathtaking Yangtze River views and exquisite amenities.,"Boasting breathtaking views of the Yangtze River and luxurious amenities, this residence offers unparalleled elegance and exclusivity in Nanjing.",2000000,1600000,Jiangsu,China,"InterContinental Residences Nanjing, No. 1, Longpan Road, Jianye District, Nanjing, Jiangsu, China."
JW Marriott Residences,https://jwmr-istanbultarabya.com/?utm_source=instagram&utm_medium=social&utm_campaign=insta_luxury_campaign&utm_content=image1_v2&utm_term=high_income,JW Marriott,Elevate your lifestyle with panoramic Bosphorus views and unrivaled modern elegance.,"Offering breathtaking Bosphorus views, these luxurious residences boast private terraces and bespoke services that redefine urban living.",1500000,5000000,Istanbul,Turkey,"Taksim Square, Gümüşsuyu Mahallesi, Meşrutiyet Cd. No: 9, 34437 Beyoğlu/İstanbul, Turkey."
JW Marriott Residences,https://news.marriott.com/news/2023/08/31/marriott-international-signs-agreement-to-bring-w-hotels-to-al-marjan-island-in-ras-al-khaimah,JW Marriott,Indulge in luxurious beachfront living with stunning mountain vistas and exceptional amenities.,"Offering breathtaking views of the Arabian Gulf, these residences feature private balconies and access to pristine beachfront amenities.",1800000,3000000,Ras Al Khaimah,UAE,"Al Hamra, Ras Al Khaimah, United Arab Emirates."
JW Marriott Residences,https://jwmr-clearwaterbeach.com/,JW Marriott,Elevate your lifestyle with unparalleled luxury and breathtaking Gulf Coast views.,"These luxurious residences boast stunning waterfront views, private beach access, and exclusive amenities, creating an unparalleled living experience.",1000000,3000000,Clearwater,United States,"691 Bayway Blvd, Clearwater, FL 33767, United States."
JW Marriott Residences,https://www.jwmr-jeju.com.co/,JW Marriott,Discover breathtaking volcanic landscapes from your luxurious island sanctuary in Jeju.,"Offering breathtaking ocean views and direct access to pristine beaches, this residence features luxurious amenities and private gardens.",1200000000,3000000000,Jeju-do,South Korea,"JW Marriott Residences Jeju, South Korea: 95, Saekdal-ro, Seogwipo-si, Jeju-do, South Korea."
JW Marriott Residences,https://residencesrestonstation.com/,JW Marriott,Indulge in luxurious living with stunning lake views and world-class amenities.,"Boasting breathtaking lakefront views and direct access to vibrant urban amenities, this residence offers unparalleled luxury and convenience.",1200000,2200000,Reston,United States,"11700 Sunrise Valley Drive, Reston, VA 20191, United States."
"JW Marriott Residences, Grand Marina Saigon",https://masterisehomes.com/grand-marina-saigon/legacy,JW Marriott,"Rising along the Saigon River, this waterfront sanctuary redefines urban luxury living.","Overlooking the Saigon River, these residences boast private balconies, luxurious amenities, and unparalleled access to vibrant city life.",8000000000,20000000000,Ho Chi Minh City,Vietnam,"2 Tôn Đức Thắng, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam."
JW Marriott Residences,https://marriottresidences.com/luxury_brand/jw-marriott-residences/,JW Marriott,Indulge in luxury living with breathtaking views of the lush green landscape.,"Offering breathtaking panoramic views of the Pyramids, this residence boasts unparalleled luxury with private amenities and expansive outdoor spaces.",5000000,30000000,Cairo,Egypt,
"Kempinski Residences, Bayil Bay",https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-bayil-bay,Kempinski,"Overlooking the sparkling Caspian Sea, this luxurious haven redefines waterfront elegance.","Offering breathtaking views of the Caspian Sea and unparalleled access to Baku's vibrant cultural scene, this residence boasts luxurious amenities and exclusive services.",300000,1800000,Baku,Azerbaijan,
Kempinski Hotel & Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-hotel-and-residences-khao-yai,Kempinski,Discover luxurious private villas with breathtaking panoramic views of Khao Yai's lush landscapes.,"Set amidst lush hills, this luxury residence boasts breathtaking panoramic views, private infinity pools, and personalized concierge services.",5000,20000,Khao Yai,Thailand,"Khao Yai, Thailand, 999 Moo 1, Pakchong, Nakhon Ratchasima 30130, Thailand."
Kempinski Marina Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-marina-residences-dubai,Kempinski,Indulge in breathtaking waterfront views and unparalleled luxury at Dubai's premier residence.,"Overlooking the stunning coastline, these residences boast expansive private terraces, unparalleled sea views, and access to a private beach.",2200000,25000000,Dubai,UAE,"Dubai, UAE."
"The Residences, at Kempinski Bahrain Harbour",https://www.kempinski.com/en/development/upcoming-openings/kempinski-bahrain-harbour-the-residences-at-kempinski-bahrain-harbour,Kempinski,Elevated waterfront living with panoramic Arabian Gulf views and unmatched luxury design.,"Offering breathtaking waterfront views and luxurious amenities, this residence features private access to a stunning marina and exclusive rooftop terraces.",300000,800000,Manama,Bahrain,"The Residences at Kempinski Bahrain Harbour, Manama, Bahrain."
Kempinski Grace Bay,https://www.kempinski.com/en/development/upcoming-openings/kempinski-grace-bay-turks-caicos,Kempinski,"Discover unparalleled luxury with stunning ocean views and private, pristine beaches.","Overlooking the stunning turquoise waters, this residence boasts private beachfront access and luxurious amenities, ensuring an unforgettable getaway.",1200,1500,Grace Bay Beach,Turks and Caicos Islands,"Grace Bay Beach, Providenciales, Turks and Caicos Islands, British Overseas Territories."
Artlife Kempinski Residences,https://www.kempinski.com/en/development/upcoming-openings/artlife-kempinski-residences-yerevan,Kempinski,Indulge in luxurious living with breathtaking views of Armenia's majestic mountains.,"Offering breathtaking views of Mount Ararat, this luxurious residence features exclusive amenities and a vibrant cultural atmosphere in Yerevan.",600000,750000,Yerevan,Armenia,
Kempinski Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-nef-sapanca-turkiye,Kempinski,"Amid serene forests and a shimmering lake, luxury meets untouched tranquility.","Offering breathtaking lake views and luxurious amenities, this residence features private gardens and direct access to serene nature trails.",400000,3500000,Sapanca,Turkey,
"Maçka Residences, Istanbul Managed By Kempinski",https://www.kempinski.com/en/residences/private-residences/macka-residences-istanbul-managed-by-kempinski,Kempinski,"Elevate your lifestyle with breathtaking Bosphorus views from luxurious, sophisticated residences.","Offering breathtaking Bosphorus views and luxurious amenities, this residence combines urban sophistication with serene green surroundings in Istanbul.",1800000,.-.,Istanbul,Turkey,"Maçka Residences, Istanbul Managed By Kempinski  
Maçka Caddesi No: 1,  
Macka, 34367  
Istanbul, Turkey"
"Kempinski Residences, Nef Reserve Gölköy",https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-nef-reserve-golkoy-bodrum,Kempinski,Discover luxurious living with breathtaking sea views and private beach access.,"Offering breathtaking panoramic views of the Aegean Sea, these residences feature private pools and direct beach access for ultimate luxury.",2000000,5000000,Bodrum,Turkey,"Bodrum, Turkey."
Kempinski Residences,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-alacati-cesme,Kempinski,"Where timeless Aegean charm meets contemporary luxury, every detail exudes coastal elegance.","Offering breathtaking panoramic views of the Aegean Sea, this residence features private terraces and an exquisite infinity pool.",500000,5000000,Alacati,Turkey,"Alacati, Turkey."
"The Residences, at 8 Conlay Kempinski Hotel",https://www.kempinski.com/en/residences/private-residences/the-residences-at-8-conlay-kempinski-hotel-kuala-lumpur,Kempinski,"Elevate your lifestyle with panoramic skyline views from luxurious, artfully designed residences.","The Residences at 8 Conlay offer breathtaking panoramic views of the iconic Petronas Towers and lush cityscape, complemented by unparalleled luxury amenities.",3000000,8000000,Kuala Lumpur,Malaysia,"The Residences at 8 Conlay, Kempinski Hotel, 8 Conlay, 50450 Kuala Lumpur, Malaysia."
Kempinski Balmumcu Residences,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-balmumcu-istanbul,Kempinski,Discover luxurious living with breathtaking Bosphorus views and exquisite contemporary design.,"Offering breathtaking Bosphorus views and luxurious amenities, this residence combines modern elegance with a prime location near Istanbul's cultural gems.",1800000,.--.,Istanbul,Turkey,"Balmumcu Mah. Gülbahar Cad. No: 1, Beşiktaş, 34349 Istanbul, Turkey."
"Kempinski Residences, The Creek",https://www.kempinski.com/en/residences/private-residences/kempinski-residences-the-creek-dubai,Kempinski,"Overlooking serene waterfronts, these ultra-luxurious residences blend timeless elegance with modern innovation.","Overlooking the serene waters of Dubai Creek, these luxurious residences boast private terraces, expansive layouts, and unparalleled skyline views.",2000000,100000000,Dubai,UAE,"22nd Street, Dubai, UAE."
Kempinski Laje de Pedra Brazil,https://www.kempinski.com/en/development/upcoming-openings/kempinski-laje-de-pedra-canela-brazil,Kempinski,"Overlooking breathtaking canyons, this luxury retreat offers unrivaled panoramic views.","Overlooking breathtaking mountains and lush valleys, this residence boasts a stunning spa, gourmet dining, and unparalleled nature access.",1500,..,Canela,Brazil,"Avenida das Hortênsias, 1480 - Centro, Canela - RS, 95680-000, Brazil."
"Barbaros Reserve Bodrum Residences, managed by Kempinski",https://www.kempinski.com/en/residences/private-residences/barbaros-reserve-bodrum-residences,Kempinski,Indulge in breathtaking sea views and exquisite design at this luxurious haven.,"Overlooking the Aegean Sea, these residences boast private beach access, infinity pools, and unparalleled sunset views in Bodrum.",1500000,3500000,Bodrum,Turkey,"Kızılburun Mah. Barbaros Cad. No: 1, Bodrum, 48400, Turkey."
The Residences at Sindhorn Kempinski Hotel,https://www.kempinski.com/en/residences/private-residences/the-residences-at-sindhorn-kempinski-hotel-bangkok,Kempinski,Elevate your lifestyle with serene park views and unparalleled urban sophistication.,"Overlooking lush greenery and the vibrant cityscape, this residence boasts unparalleled luxury with expansive terraces and exclusive access to a private garden oasis.",30000,100000,Bangkok,Thailand,"80 Soi Tonson, Lumphini, Pathum Wan, Bangkok 10330, Thailand."
Kempinski Residences,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-astoria-istanbul,Kempinski,Enjoy breathtaking Bosphorus views from luxurious suites in Istanbul's historic heart.,"Overlooking the Bosphorus, this luxurious residence boasts expansive terraces, exquisite design, and unparalleled access to Istanbul's vibrant culture.",2000000,8000000,Istanbul,Turkey,"34662 Istanbul, Turkey."
"Bellevue Residences, Managed by Kempinski",https://www.kempinski.com/en/residences/private-residences/bellevue-residences-istanbul-managed-by-kempinski,Kempinski,"Indulge in breathtaking Bosphorus views from luxurious, elegantly designed waterfront residences.","The Bellevue Residences in Istanbul boast breathtaking Bosphorus views and luxurious amenities, offering an unparalleled urban living experience.",3500000,3000000,Istanbul,Turkey,"Kuruçeşme Mah. Muallim Naci Cad. No: 64, Beşiktaş, 34345 Istanbul, Turkey."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/bangkok,Mandarin Oriental,Indulge in riverfront living with timeless elegance and unrivaled panoramic views.,"Offering breathtaking river views and unparalleled access to cultural landmarks, this residence combines luxury living with vibrant city life.",40000000,50000000,Bangkok,Thailand,"Bangkok  
48 Oriental Avenue,  
Bangkok 10500,  
Thailand"
Mandarin Oriental Residences,https://www.mandarinoriental.com/en/residences/current/barcelona,Mandarin Oriental,Elevate your lifestyle with panoramic city views and exquisite Catalan elegance.,"Offering breathtaking views of the city skyline and iconic landmarks, these residences boast unparalleled luxury with personalized services and exquisite design.",500000,18000000,Barcelona,Spain,"Barcelona  
Paseo de Gracia, 38, 08007 Barcelona, Spain"
Mandarin Oriental Residences,https://www.mandarinoriental.com/en/residences/current/beverly-hills,Mandarin Oriental,Indulge in luxurious living with breathtaking views and exquisite architectural elegance.,These luxurious residences boast breathtaking views of the Hollywood Hills and unparalleled access to exclusive concierge services and amenities.,3500000,8000000,Los Angeles,United States,"9200 Wilshire Blvd, Beverly Hills, CA 90212, USA."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/bodrum,Mandarin Oriental,Luxuriate in breathtaking Aegean Sea views from ultra-exclusive hillside villas.,"Offering breathtaking panoramic views of the Aegean Sea, this residence features private infinity pools and unparalleled access to a secluded beach.",2500000,25000000,Bodrum,Turkey,"Bodrum, Turkey."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/boston,Mandarin Oriental,Elevate your lifestyle with breathtaking city views and unparalleled luxury amenities.,"Offering breathtaking views of the Boston skyline and harbor, this residence features unparalleled amenities and personalized services.",1500000,16000000,Boston,United States,"Boston  
776 Boylston Street  
Boston, MA 02199  
United States"
"Mandarin Oriental Residences, Fifth Avenue",https://www.mandarinoriental.com/en/residences/current/fifth-avenue-new-york,Mandarin Oriental,Indulge in luxurious living with breathtaking Central Park views and unparalleled elegance.,"Offering breathtaking views of Central Park and the iconic skyline, this residence features unparalleled luxury amenities and personalized services.",6000000,29000000,New York,United States,"Mandarin Oriental Residences, Fifth Avenue  
80 Columbus Circle  
New York, NY 10023  
USA"
One Hyde Park: The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/hyde-park-london,Mandarin Oriental,Unrivaled luxury meets panoramic Hyde Park views in London’s most exclusive address.,"Overlooking the serene Knightsbridge, this luxury residence boasts unparalleled panoramic views, a private spa, and 24-hour concierge services.",6000000,140000000,London,UK,"One Hyde Park, 100 Knightsbridge, London SW1X 7LX, UK."
The Residences at Mandarin Oriental Mayfair,https://www.mandarinoriental.com/en/residences/current/mayfair-london,Mandarin Oriental,Indulge in unparalleled luxury with sweeping views of London's iconic skyline.,"Offering breathtaking views of Hyde Park and exclusive access to personalized concierge services, this residence redefines luxury living in London.",2500000,9500000,London,UK,"20 Hanover Square, London W1S 1JH, United Kingdom."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/macau,Mandarin Oriental,"Indulge in breathtaking views and unparalleled luxury within a vibrant, cultural oasis.","Overlooking the shimmering Cotai Strip, these residences boast unparalleled luxury with private pools, exquisite dining options, and bespoke services.",3000000,50000000,Macau,China,
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/muscat,Mandarin Oriental,Immerse in unrivaled coastal elegance where modern luxury meets Omani heritage.,"Offering breathtaking views of the Gulf and the Al Hajar Mountains, this residence features luxurious amenities and private beach access.",700000,2500000,Muscat,Oman,
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/new-york,Mandarin Oriental,Elevate your lifestyle with breathtaking Central Park views and unparalleled luxury.,"Offering breathtaking views of Central Park and the skyline, this residence features bespoke services and luxurious amenities that redefine urban living.",3800000,18000000,New York,United States,"New York  
80 Columbus Circle  
New York, NY 10023  
USA"
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/taipei,Mandarin Oriental,Luxurious urban living seamlessly blends with breathtaking views of Taipei's skyline.,"Offering breathtaking views of Taipei 101, this residence boasts luxurious amenities and direct access to vibrant city life.",1000000,100000000,Taipei,Taiwan,"Taipei, Taiwan: 158 Dunhua North Road, Songshan District, Taipei City, 105."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/boca-raton,Mandarin Oriental,"Unveiling timeless elegance, this sanctuary blends oceanic serenity with bespoke luxury living.","Offering breathtaking views of the golf course and direct access to a luxurious resort, this residence redefines upscale living.",3500000,7000000,Boca Raton,United States,"Boca Raton, FL 33432, United States."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/grand-cayman,Mandarin Oriental,Embrace opulent beachfront living with panoramic Caribbean views and unmatched luxury.,"Overlooking pristine beaches and turquoise waters, this residence boasts unparalleled luxury with private infinity pools and direct ocean access.",1500000,16000000,Grand Cayman,Cayman Islands,"Grand Cayman, Cayman Islands."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/honolulu,Mandarin Oriental,Breathtaking ocean views and luxurious living redefine tropical elegance in paradise.,"Overlooking the stunning coastline, this luxurious residence boasts private infinity pools and exclusive access to world-class amenities and services.",3000000,8000000,Honolulu,United States,"Honolulu, 1288 Ala Moana Blvd, Honolulu, HI 96814, USA."
Mandarin Oriental Residences,https://www.mandarinoriental.com/en/residences/upcoming/madrid,Mandarin Oriental,"Elegant residences blend timeless Spanish architecture with ultra-luxurious, hotel-inspired living.","Offering breathtaking views of the Royal Palace and exclusive access to luxury amenities, these residences redefine urban elegance in Madrid.",500000,7000000,Madrid,Spain,"Mandarin Oriental Residences Madrid, Calle de José Abascal, 44, 28003 Madrid, Spain."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/munich,Mandarin Oriental,Discover opulent living with breathtaking city views and impeccable personalized service.,"Offering breathtaking views of the historic city skyline, this residence boasts luxurious amenities and unparalleled access to cultural landmarks.",2500000,8000000,Munich,Germany,"Munich  
Neuturmstraße 1,  
80331 Munich,  
Germany"
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/tel-aviv,Mandarin Oriental,Indulge in luxurious seaside living with breathtaking Mediterranean views and unparalleled amenities.,"Offering breathtaking Mediterranean views, these residences feature private terraces and direct beach access, redefining luxury coastal living.",16000000,10000000,Tel Aviv,Israel,"Tel Aviv, Israel."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/vienna,Mandarin Oriental,"A masterpiece of timeless elegance, offering unparalleled luxury in Vienna's historic heart.","Offering breathtaking views of the historic cityscape, these residences feature luxurious interiors and unparalleled access to Vienna's cultural treasures.",4000000,7500000,Vienna,Austria,"Vienna is located at:  
Michaelerplatz 3, 1010 Vienna, Austria."
The Residences at Mandarin Oriental,https://mo-residencesmiami.com/,Mandarin Oriental,Elevate your lifestyle with panoramic ocean views from luxurious sky-high sanctuaries.,"Overlooking Biscayne Bay, these luxury residences boast private terraces, world-class amenities, and unparalleled access to vibrant city life.",1900000,10000000,Miami,United States,"The address for The Residences at Mandarin Oriental in Miami, USA is:

500 Brickell Key Drive, Miami, FL 33131, USA."
The Residences at Mandarin Oriental,https://mo-residencesdanang.com/,Mandarin Oriental,Immerse yourself in luxurious beachfront living with breathtaking ocean views and exquisite design.,"The Residences at Mandarin Oriental in Da Nang boast breathtaking oceanfront views and luxurious amenities, ensuring an unparalleled lifestyle experience.",10000000000,25000000000,Da Nang,Vietnam,"Da Nang, Vietnam."
"Marriott Residences, JLT","https://mrjlt.com/?utm_source=Marriot&utm_medium=Visitor&utm_campaign=marriot_jlt&utm_id=Marriot+Residences,&utm_term=Marriot+Residences,+Booking",Marriott,Elevate your lifestyle with stunning lakefront views and unparalleled modern luxury.,"This exceptional residence boasts panoramic views of the iconic Dubai Marina, complemented by luxurious amenities and a vibrant community atmosphere.",1200000,4000000,Dubai,UAE,"Dubai, UAE."
"Marriott Residences, Aida",https://darglobal.co.uk/marriott-residences-aida-oman?utm_source=marriott_website&utm_medium=organic,Marriott,Discover unrivaled luxury with panoramic sea views from every elegant suite.,"Overlooking the stunning Gulf of Oman, this residence features spacious suites with private balconies and unparalleled sunset views.",100,350,Muscat,Oman,"Muscat, Oman."
"Marriott Residences, Al Barsha South",https://www.mresidencesbarshasouth.com/,Marriott,Indulge in modern luxury with spacious suites and breathtaking skyline views.,"This modern residence boasts stunning skyline views, spacious suites with contemporary designs, and exclusive access to a rooftop pool.",1300000,1200,Dubai,UAE,"Dubai, UAE."
"Marriott Residences, Business Bay",https://mresidencesbb.com/,Marriott,Elevate your lifestyle with waterfront elegance and skyline views in Business Bay.,"Offering breathtaking views of the iconic Burj Khalifa, this residence features luxurious amenities and a prime location near vibrant dining and entertainment options.",1200000,2500000,Dubai,UAE,"Dubai, UAE."
"Marriott Residences, JVC",https://www.mresidencesdubai.com/,Marriott,Embrace unparalleled luxury with panoramic skyline views from your private rooftop oasis.,"This vibrant residence boasts breathtaking skyline views and exclusive access to a rooftop infinity pool, enhancing luxurious living.",1200000,2500000,Dubai,UAE,"Marriott Residences, Jumeirah Village Circle (JVC), Dubai, UAE."
"Marriott Residences, Grand Marina Saigon",https://masterisehomes.com/grand-marina-saigon/prime,Marriott,"Indulge in breathtaking river views and luxurious, spacious suites in vibrant Saigon.","Overlooking the Saigon River, this residence boasts spacious suites with private balconies and unparalleled access to vibrant cultural hotspots.",3500000,300,Ho Chi Minh City,Vietnam,"2 Ton Duc Thang, Ben Nghe, District 1, Ho Chi Minh City, Vietnam."
"Marriott Residences, Heliopolis",https://mresidencescairo.com/#,Marriott,Embrace sophisticated living with panoramic city views and unrivaled modern elegance.,"Offering stunning panoramic views of the iconic Cairo skyline, this residence features luxurious amenities and a prime location near cultural landmarks.",4500000,5000,Cairo,Egypt,
"Marriott Residences, Ambergris Caye Resort",https://ecidevelopment.com/community/belize-marriott-residences/,Marriott,Discover oceanfront luxury with breathtaking views and exclusive overwater bungalows.,"Overlooking the Caribbean Sea, this resort boasts private beachfront access, stunning sunset views, and luxurious amenities for ultimate relaxation.",700000,800,Ambergris Caye,Belize,
