residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Naples Beach Club,https://www.fourseasons.com/residences/private_residences/naples-beach-club/,"851 Gulf Shore Blvd N, Naples, FL 34102, United States.",14000000,3500,8000000,25000000,4000,160,2025,under construction,high,yes,yes,93,Naples,United States,"Golf course, beach club, fitness center, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Kids’ club, beach access, tennis courts, bowling alley, valet parking",Tom Fazio-designed 18-hole golf course (2026),Three oceanfront pools,HB’s on the Gulf dining,12,Four Seasons,"Bask in breathtaking sunsets from luxurious beachfront villas, where tranquility meets elegance.","Offering breathtaking Gulf views, luxurious beachfront access, and exclusive amenities, this residence redefines coastal living in Naples."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/nashville/,"Four Seasons Private Residences Nashville  
151 1st Avenue South",5750000,2300,1999000,25000000,2500,143,2022,completed,high,yes,yes,95,Nashville,United States,"Fitness center, spa facilities, private terraces, residents’ garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, valet parking, rooftop terrace, pet spa, doorman service",Rooftop infinity pool with marina views,14th-floor residents’ garden,Mimo Restaurant & Bar,11,Four Seasons,Elevate your lifestyle with skyline views and unrivaled luxury in every detail.,"These luxurious residences boast breathtaking skyline views, unparalleled amenities, and a prime location near vibrant cultural attractions."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/nevis/,"Four Seasons Private Residences Nevis, Pinney’s Beach",4750000,1583,1430000,10000000,3000,147,2025,under construction,high,yes,yes,93,Charlestown,Saint Kitts and Nevis,"Golf course, fitness center, beach club, private pools","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ splash pad, marina access, outdoor pursuits, comfort stations",Robert Trent Jones II 18-hole golf course,Pinney’s Beach access,Three resort pools,12,Four Seasons,Embrace unparalleled luxury with breathtaking ocean views and private beach access.,"Set against a stunning backdrop of lush mountains and pristine beaches, these residences offer unparalleled ocean views and exceptional amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/new-orleans/,"2 Canal Street, New Orleans, LA 70130, United States.",3750000,1875,2500000,6500000,2000,92,2021,completed,high,yes,yes,94,New Orleans,United States,"Fitness center, spa facilities, private terraces, residents’ garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, valet parking, rooftop terrace, pet spa, doorman service",Rooftop crescent pool,Mississippi River views,Chandelier Bar by Marc Becker,11,Four Seasons,Indulge in unparalleled luxury with breathtaking views of the vibrant Mississippi River.,"Offering breathtaking views of the Mississippi River, these residences feature unparalleled amenities and direct access to vibrant French Quarter culture."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/newyorkdowntown/,"Four Seasons Private Residences New York  
30 Park Place  
New York, NY 10016  
USA",10000000,3333,4250000,25000000,3000,157,2016,completed,high,yes,yes,95,New York,United States,"Fitness center, private theater, spa facilities, residents’ conservatory","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, yoga studio, valet parking, doorman service",75-foot indoor lap pool,Private dining by CUT by Wolfgang Puck,IMAX private theater,10,Four Seasons,"Soaring above Manhattan, these ultra-luxury residences redefine skyline living with unparalleled elegance.","Offering breathtaking skyline views and unparalleled access to Central Park, this residence boasts luxurious amenities and bespoke services."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/orlando/,"Four Seasons Private Residences Orlando  
10100 Dream Tree Blvd  
Orlando, FL 32836  
United States",10500000,2625,7000000,25000000,4000,40,2026,under construction,high,yes,yes,93,Orlando,United States,"Golf course, fitness center, private pools, kids’ splash zone","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ club, water sports, outdoor pursuits, valet parking",Tom Fazio-designed Tranquilo Golf Course,Five-acre Explorer Island water park,Three resort pools with cabanas,12,Four Seasons,Discover unparalleled luxury with direct access to world-class theme parks nearby.,"Boasting stunning lakefront views and unparalleled access to world-class amenities, this residence redefines luxury living in Orlando."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/puntamita/,"Four Seasons Private Residences Punta Mita, Av. Punta de Mita 100, Punta de Mita, Nayarit, Mexico.",5250000,1750,3000000,10000000,3000,64,2018,completed,high,yes,yes,94,Nayarit,Mexico,"Golf courses, beach club, fitness center, private pools","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ club, beach access, water sports, comfort stations",Two Jack Nicklaus Signature golf courses,Private beach club,10 distinct dining venues,12,Four Seasons,Discover unparalleled oceanfront luxury with breathtaking views and exclusive amenities.,"Overlooking the pristine Pacific coastline, these luxurious residences feature private infinity pools and unparalleled access to a secluded beach."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/sanfrancisco/,"757 Market Street, San Francisco, CA 94103, USA.",7500000,2500,3500000,15000000,3000,142,2001,completed,high,yes,yes,95,San Francisco,United States,"Fitness center, spa facilities, private terraces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, valet parking, yoga studio, personal training, doorman service",Indoor lap pool with skylights,MKT Restaurant – Bar,Four Seasons Spa,10,Four Seasons,"Elevated luxury living with panoramic Bay views and world-class, personalized services.","Offering breathtaking panoramic views of the Bay and Golden Gate Bridge, this residence features unparalleled luxury amenities and bespoke services."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/706-mission-san-francisco/,"757 Market Street, San Francisco, CA 94103, USA",3750000,930,1800000,49000000,400000,146,2021,completed,high,yes,yes,95,San Francisco,United States,,,,,,,,Four Seasons,Elevate your lifestyle with panoramic city views from unparalleled luxury residences.,"Offering breathtaking panoramic views of the Bay and Golden Gate Bridge, these residences feature luxurious amenities and unparalleled service."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/seattle/,"Four Seasons Private Residences Seattle  
99 Union Street  
Seattle, WA 98101  
USA",8000000,2000,4300000,9695000,4000,36,2008,completed,high,yes,yes,,Seattle,United States,"Fitness center, spa facilities, private terraces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, valet parking, rooftop terrace, personal training, doorman service",Rooftop infinity pool with Elliott Bay views,Goldfinch Tavern dining,Four Seasons Spa,10,Four Seasons,Elevate your lifestyle with stunning waterfront views and unparalleled luxury amenities.,"Overlooking Elliott Bay and the Olympic Mountains, this residence boasts unparalleled luxury with bespoke amenities and a vibrant urban lifestyle."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/seaway-south/,"1435 Brickell Avenue, Miami, FL 33131, USA.",3750000,1875,1500000,10000000,2000,186,2003,completed,high,yes,yes,95,Miami,United States,"Beach club, fitness center, private cabanas, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, kids’ club, personal training, valet parking",Oceanfront pools,Private beach club,Joseph Dirand-designed interiors,11,Four Seasons,"Elevate your lifestyle with ocean-view sanctuaries blending luxury, privacy, and sophistication.","Offering breathtaking panoramic views of Biscayne Bay, these residences boast exclusive amenities like a private rooftop pool and personalized concierge services."
"Four Seasons Private Residences, Tamarindo",https://www.fourseasons.com/residences/private_residences/tamarindo/,"Carretera Federal 200, Barra de Navidad",10500000,1750,8950000,15000000,6000,25,2026,under construction,high,yes,yes,95,La Huerta,Mexico​,"Private infinity pools, fitness center, beach club, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, beach access, water sports, outdoor pursuits, comfort stations",Private infinity pool per residence,"3,000-acre nature reserve beachfront",Cliffside spa with ocean views,11,Four Seasons,Discover unparalleled luxury with panoramic ocean views and exclusive rainforest access.,"Overlooking pristine beaches and lush jungles, this residence boasts unparalleled ocean views and exclusive access to private amenities."
